model_type,data_profile,median_cv_mse,std_cv_mse,cv_cv_mse,median_test_mse,std_test_mse,cv_test_mse,leakage_rate,lambda_reg,window_size,n_layers,lag,base_seed,reservoir_size,spectral_radius,sparsity
QRC,Mackey_Glass_(tau=30),4.315571429286418e-06,1.1701088831570296e-05,2.7113648848827134,2.3314147306534424e-06,5.174605531536441e-06,2.219513097991843,1.0,1e-08,10,2.0,0.0,2025,,,
Classical_ESN,Mackey_Glass_(tau=30),0.00030800000581591216,8.907368048325716e-05,0.28920025584835674,0.00018239024702860273,2.3015559199107486e-05,0.12618854118607642,0.1,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),3.598898531426514e-05,1.4086316527086426e-05,0.39140632624346205,1.5630649284250166e-05,1.9884314153746202e-06,0.1272136159678417,0.1,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),2.0094399816387965e-06,2.5584630848845913e-06,1.2732219465435537,8.746880587943878e-07,1.4791529424480083e-07,0.1691063376910364,0.1,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),2.6493216340047105e-06,5.524607453392897e-06,2.0852913374062134,1.0575582333425971e-06,1.3426660240632158e-06,1.269590630314026,0.1,1e-08,6,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),3.783658454825545e-06,3.0472852463900592e-05,8.053806343179994,1.9818411934759966e-06,1.5469093570276689e-06,0.7805415298258632,0.1,1e-08,8,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),6.836043211164138e-06,1.0650859719148016e-05,1.5580445281202717,1.8114587504001183e-06,4.4047755556865085e-06,2.431617918273642,0.1,1e-08,10,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),6.672001846356627e-06,2.140153015566223e-06,0.32076625049720187,4.903611928058858e-06,1.0753491947990393e-06,0.21929736907723174,0.3,1e-08,1,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),1.7533475341240135e-06,3.2061756869846923e-07,0.1828602501549428,1.1922873295019074e-06,7.847433022533437e-08,0.06581830426573265,0.3,1e-08,2,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),3.3497454424018965e-07,8.477570934860585e-08,0.2530810499075369,2.465139428222662e-07,1.554392460183266e-08,0.06305495106635675,0.3,1e-08,4,,,2025,100.0,0.9,0.1
Classical_ESN,Mackey_Glass_(tau=30),3.313666582086169e-07,1.8144378359748582e-07,0.5475619803705633,2.0447918571643923e-07,2.020911075541355e-08,0.0988321167487358,0.3,1e-08,6,,,2025,100.0,0.9,0.1
